# 2021-02-17, 17:07:37.043877
# fs = 1000 Hz, N = 12000
# NI 9201, 19.6.0
t,ai0
0.000000000,0.482391408
0.001000000,0.487533873
0.002000000,0.492676338
0.003000000,0.497818803
0.004000000,0.477248943
0.005000000,0.461821548
0.006000000,0.436109223
0.007000000,0.405254433
0.008000000,0.364114713
0.009000000,0.322974993
0.010000000,0.276692808
0.011000000,0.220125693
0.012000000,0.163558578
0.013000000,0.101848998
0.014000000,0.034996953
0.015000000,-0.031855092
0.016000000,-0.083279742
0.017000000,-0.150131787
0.018000000,-0.206698902
0.019000000,-0.258123552
0.020000000,-0.309548202
0.021000000,-0.360972852
0.022000000,-0.396970107
0.023000000,-0.432967362
0.024000000,-0.458679687
0.025000000,-0.484392012
0.026000000,-0.494676942
0.027000000,-0.504961872
0.028000000,-0.499819407
0.029000000,-0.489534477
0.030000000,-0.468964617
0.031000000,-0.443252292
0.032000000,-0.412397502
0.033000000,-0.371257782
0.034000000,-0.324975597
0.035000000,-0.283835877
0.036000000,-0.216983832
0.037000000,-0.165559182
0.038000000,-0.103849602
0.039000000,-0.036997557
0.040000000,0.014427093
0.041000000,0.081279138
0.042000000,0.148131183
0.043000000,0.199555833
0.044000000,0.256122948
0.045000000,0.312690063
0.046000000,0.358972248
0.047000000,0.400111968
0.048000000,0.436109223
0.049000000,0.466964013
0.050000000,0.477248943
0.051000000,0.492676338
0.052000000,0.497818803
0.053000000,0.487533873
0.054000000,0.487533873
0.055000000,0.466964013
0.056000000,0.441251688
0.057000000,0.405254433
0.058000000,0.364114713
0.059000000,0.317832528
0.060000000,0.276692808
0.061000000,0.214983228
0.062000000,0.158416113
0.063000000,0.106991463
0.064000000,0.034996953
0.065000000,-0.021570162
0.066000000,-0.088422207
0.067000000,-0.150131787
0.068000000,-0.201556437
0.069000000,-0.268408482
0.070000000,-0.319833132
0.071000000,-0.355830387
0.072000000,-0.402112572
0.073000000,-0.432967362
0.074000000,-0.463822152
0.075000000,-0.479249547
0.076000000,-0.499819407
0.077000000,-0.504961872
0.078000000,-0.494676942
0.079000000,-0.489534477
0.080000000,-0.474107082
0.081000000,-0.443252292
0.082000000,-0.412397502
0.083000000,-0.376400247
0.084000000,-0.335260527
0.085000000,-0.273550947
0.086000000,-0.216983832
0.087000000,-0.160416717
0.088000000,-0.103849602
0.089000000,-0.042140022
0.090000000,0.024712023
0.091000000,0.081279138
0.092000000,0.142988718
0.093000000,0.204698298
0.094000000,0.256122948
0.095000000,0.312690063
0.096000000,0.353829783
0.097000000,0.400111968
0.098000000,0.430966758
0.099000000,0.456679083
0.100000000,0.482391408
0.101000000,0.487533873
0.102000000,0.492676338
0.103000000,0.492676338
0.104000000,0.487533873
0.105000000,0.466964013
0.106000000,0.436109223
0.107000000,0.405254433
0.108000000,0.364114713
0.109000000,0.333259923
0.110000000,0.271550343
0.111000000,0.214983228
0.112000000,0.163558578
0.113000000,0.106991463
0.114000000,0.040139418
0.115000000,-0.021570162
0.116000000,-0.083279742
0.117000000,-0.139846857
0.118000000,-0.201556437
0.119000000,-0.263266017
0.120000000,-0.319833132
0.121000000,-0.360972852
0.122000000,-0.402112572
0.123000000,-0.438109827
0.124000000,-0.458679687
0.125000000,-0.484392012
0.126000000,-0.494676942
0.127000000,-0.494676942
0.128000000,-0.504961872
0.129000000,-0.494676942
0.130000000,-0.468964617
0.131000000,-0.443252292
0.132000000,-0.407255037
0.133000000,-0.366115317
0.134000000,-0.324975597
0.135000000,-0.278693412
0.136000000,-0.222126297
0.137000000,-0.165559182
0.138000000,-0.108992067
0.139000000,-0.042140022
0.140000000,0.019569558
0.141000000,0.086421603
0.142000000,0.148131183
0.143000000,0.199555833
0.144000000,0.261265413
0.145000000,0.312690063
0.146000000,0.353829783
0.147000000,0.394969503
0.148000000,0.425824293
0.149000000,0.461821548
0.150000000,0.477248943
0.151000000,0.487533873
0.152000000,0.497818803
0.153000000,0.487533873
0.154000000,0.482391408
0.155000000,0.461821548
0.156000000,0.436109223
0.157000000,0.400111968
0.158000000,0.364114713
0.159000000,0.317832528
0.160000000,0.271550343
0.161000000,0.220125693
0.162000000,0.158416113
0.163000000,0.101848998
0.164000000,0.034996953
0.165000000,-0.016427697
0.166000000,-0.078137277
0.167000000,-0.150131787
0.168000000,-0.206698902
0.169000000,-0.268408482
0.170000000,-0.314690667
0.171000000,-0.366115317
0.172000000,-0.402112572
0.173000000,-0.432967362
0.174000000,-0.468964617
0.175000000,-0.479249547
0.176000000,-0.494676942
0.177000000,-0.504961872
0.178000000,-0.499819407
0.179000000,-0.484392012
0.180000000,-0.468964617
0.181000000,-0.443252292
0.182000000,-0.417539967
0.183000000,-0.371257782
0.184000000,-0.330118062
0.185000000,-0.273550947
0.186000000,-0.227268762
0.187000000,-0.165559182
0.188000000,-0.103849602
0.189000000,-0.036997557
0.190000000,0.014427093
0.191000000,0.081279138
0.192000000,0.142988718
0.193000000,0.204698298
0.194000000,0.256122948
0.195000000,0.307547598
0.196000000,0.353829783
0.197000000,0.389827038
0.198000000,0.430966758
0.199000000,0.456679083
0.200000000,0.477248943
0.201000000,0.497818803
0.202000000,0.497818803
0.203000000,0.492676338
0.204000000,0.492676338
0.205000000,0.466964013
0.206000000,0.441251688
0.207000000,0.405254433
0.208000000,0.364114713
0.209000000,0.322974993
0.210000000,0.271550343
0.211000000,0.214983228
0.212000000,0.158416113
0.213000000,0.106991463
0.214000000,0.034996953
0.215000000,-0.021570162
0.216000000,-0.083279742
0.217000000,-0.150131787
0.218000000,-0.201556437
0.219000000,-0.268408482
0.220000000,-0.309548202
0.221000000,-0.360972852
0.222000000,-0.396970107
0.223000000,-0.438109827
0.224000000,-0.468964617
0.225000000,-0.474107082
0.226000000,-0.494676942
0.227000000,-0.504961872
0.228000000,-0.499819407
0.229000000,-0.484392012
0.230000000,-0.463822152
0.231000000,-0.443252292
0.232000000,-0.407255037
0.233000000,-0.371257782
0.234000000,-0.319833132
0.235000000,-0.288978342
0.236000000,-0.216983832
0.237000000,-0.165559182
0.238000000,-0.108992067
0.239000000,-0.042140022
0.240000000,0.024712023
0.241000000,0.076136673
0.242000000,0.142988718
0.243000000,0.209840763
0.244000000,0.256122948
0.245000000,0.297262668
0.246000000,0.358972248
0.247000000,0.400111968
0.248000000,0.436109223
0.249000000,0.456679083
0.250000000,0.482391408
0.251000000,0.492676338
0.252000000,0.497818803
0.253000000,0.492676338
0.254000000,0.482391408
0.255000000,0.466964013
0.256000000,0.441251688
0.257000000,0.405254433
0.258000000,0.369257178
0.259000000,0.322974993
0.260000000,0.276692808
0.261000000,0.220125693
0.262000000,0.163558578
0.263000000,0.106991463
0.264000000,0.034996953
0.265000000,-0.026712627
0.266000000,-0.088422207
0.267000000,-0.144989322
0.268000000,-0.206698902
0.269000000,-0.263266017
0.270000000,-0.309548202
0.271000000,-0.366115317
0.272000000,-0.407255037
0.273000000,-0.432967362
0.274000000,-0.468964617
0.275000000,-0.484392012
0.276000000,-0.489534477
0.277000000,-0.499819407
0.278000000,-0.499819407
0.279000000,-0.489534477
0.280000000,-0.468964617
0.281000000,-0.443252292
0.282000000,-0.412397502
0.283000000,-0.366115317
0.284000000,-0.330118062
0.285000000,-0.278693412
0.286000000,-0.222126297
0.287000000,-0.160416717
0.288000000,-0.103849602
0.289000000,-0.047282487
0.290000000,0.019569558
0.291000000,0.081279138
0.292000000,0.142988718
0.293000000,0.199555833
0.294000000,0.256122948
0.295000000,0.312690063
0.296000000,0.353829783
0.297000000,0.405254433
0.298000000,0.436109223
0.299000000,0.461821548
0.300000000,0.482391408
0.301000000,0.482391408
0.302000000,0.492676338
0.303000000,0.492676338
0.304000000,0.482391408
0.305000000,0.472106478
0.306000000,0.436109223
0.307000000,0.405254433
0.308000000,0.369257178
0.309000000,0.328117458
0.310000000,0.276692808
0.311000000,0.220125693
0.312000000,0.158416113
0.313000000,0.101848998
0.314000000,0.040139418
0.315000000,-0.026712627
0.316000000,-0.083279742
0.317000000,-0.155274252
0.318000000,-0.211841367
0.319000000,-0.268408482
0.320000000,-0.309548202
0.321000000,-0.355830387
0.322000000,-0.402112572
0.323000000,-0.438109827
0.324000000,-0.463822152
0.325000000,-0.484392012
0.326000000,-0.499819407
0.327000000,-0.504961872
0.328000000,-0.504961872
0.329000000,-0.484392012
0.330000000,-0.474107082
0.331000000,-0.448394757
0.332000000,-0.407255037
0.333000000,-0.366115317
0.334000000,-0.330118062
0.335000000,-0.283835877
0.336000000,-0.222126297
0.337000000,-0.165559182
0.338000000,-0.108992067
