# 2021-02-17, 17:39:54.583801
# fs = 1000 Hz, N = 256
# NI 9201, 19.6.0
t,ai0
0.000000000,0.081279138
0.001000000,0.014427093
0.002000000,-0.047282487
0.003000000,-0.108992067
0.004000000,-0.170701647
0.005000000,-0.227268762
0.006000000,-0.299263272
0.007000000,-0.355830387
0.008000000,-0.407255037
0.009000000,-0.468964617
0.010000000,-0.530674197
0.011000000,-0.582098847
0.012000000,-0.623238567
0.013000000,-0.669520752
0.014000000,-0.720945402
0.015000000,-0.762085122
0.016000000,-0.792939912
0.017000000,-0.828937167
0.018000000,-0.870076887
0.019000000,-0.900931677
0.020000000,-0.926644002
0.021000000,-0.947213862
0.022000000,-0.967783722
0.023000000,-0.983211117
0.024000000,-0.988353582
0.025000000,-1.003780977
0.026000000,-1.003780977
0.027000000,-0.998638512
0.028000000,-0.998638512
0.029000000,-0.988353582
0.030000000,-0.972926187
0.031000000,-0.957498792
0.032000000,-0.936928932
0.033000000,-0.906074142
0.034000000,-0.890646747
0.035000000,-0.854649492
0.036000000,-0.828937167
0.037000000,-0.782654982
0.038000000,-0.741515262
0.039000000,-0.695233077
0.040000000,-0.654093357
0.041000000,-0.607811172
0.042000000,-0.551244057
0.043000000,-0.499819407
0.044000000,-0.438109827
0.045000000,-0.386685177
0.046000000,-0.335260527
0.047000000,-0.273550947
0.048000000,-0.211841367
0.049000000,-0.150131787
0.050000000,-0.083279742
0.051000000,-0.021570162
0.052000000,0.040139418
0.053000000,0.106991463
0.054000000,0.168701043
0.055000000,0.230410623
0.056000000,0.292120203
0.057000000,0.348687318
0.058000000,0.405254433
0.059000000,0.461821548
0.060000000,0.513246198
0.061000000,0.569813313
0.062000000,0.616095498
0.063000000,0.667520148
0.064000000,0.713802333
0.065000000,0.754942053
0.066000000,0.796081773
0.067000000,0.832079028
0.068000000,0.862933818
0.069000000,0.893788608
0.070000000,0.914358468
0.071000000,0.945213258
0.072000000,0.960640653
0.073000000,0.970925583
0.074000000,0.986352978
0.075000000,0.991495443
0.076000000,0.996637908
0.077000000,1.001780373
0.078000000,0.986352978
0.079000000,0.986352978
0.080000000,0.970925583
0.081000000,0.955498188
0.082000000,0.940070793
0.083000000,0.909216003
0.084000000,0.883503678
0.085000000,0.857791353
0.086000000,0.811509168
0.087000000,0.780654378
0.088000000,0.739514658
0.089000000,0.698374938
0.090000000,0.646950288
0.091000000,0.600668103
0.092000000,0.549243453
0.093000000,0.492676338
0.094000000,0.430966758
0.095000000,0.384684573
0.096000000,0.322974993
0.097000000,0.266407878
0.098000000,0.204698298
0.099000000,0.137846253
0.100000000,0.081279138
0.101000000,0.014427093
0.102000000,-0.047282487
0.103000000,-0.108992067
0.104000000,-0.175844112
0.105000000,-0.237553692
0.106000000,-0.294120807
0.107000000,-0.350687922
0.108000000,-0.412397502
0.109000000,-0.463822152
0.110000000,-0.520389267
0.111000000,-0.576956382
0.112000000,-0.618096102
0.113000000,-0.674663217
0.114000000,-0.720945402
0.115000000,-0.756942657
0.116000000,-0.803224842
0.117000000,-0.839222097
0.118000000,-0.864934422
0.119000000,-0.890646747
0.120000000,-0.931786467
0.121000000,-0.947213862
0.122000000,-0.962641257
0.123000000,-0.988353582
0.124000000,-0.993496047
0.125000000,-0.998638512
0.126000000,-1.008923442
0.127000000,-1.003780977
0.128000000,-0.998638512
0.129000000,-0.988353582
0.130000000,-0.972926187
0.131000000,-0.972926187
0.132000000,-0.936928932
0.133000000,-0.916359072
0.134000000,-0.880361817
0.135000000,-0.854649492
0.136000000,-0.818652237
0.137000000,-0.787797447
0.138000000,-0.741515262
0.139000000,-0.705518007
0.140000000,-0.654093357
0.141000000,-0.607811172
0.142000000,-0.556386522
0.143000000,-0.499819407
0.144000000,-0.438109827
0.145000000,-0.381542712
0.146000000,-0.324975597
0.147000000,-0.268408482
0.148000000,-0.206698902
0.149000000,-0.139846857
0.150000000,-0.083279742
0.151000000,-0.016427697
0.152000000,0.045281883
0.153000000,0.106991463
0.154000000,0.168701043
0.155000000,0.230410623
0.156000000,0.281835273
0.157000000,0.343544853
0.158000000,0.400111968
0.159000000,0.461821548
0.160000000,0.513246198
0.161000000,0.569813313
0.162000000,0.621237963
0.163000000,0.667520148
0.164000000,0.713802333
0.165000000,0.754942053
0.166000000,0.796081773
0.167000000,0.837221493
0.168000000,0.862933818
0.169000000,0.883503678
0.170000000,0.924643398
0.171000000,0.940070793
0.172000000,0.970925583
0.173000000,0.976068048
0.174000000,0.981210513
0.175000000,0.986352978
0.176000000,0.996637908
0.177000000,0.996637908
0.178000000,0.991495443
0.179000000,0.976068048
0.180000000,0.970925583
0.181000000,0.955498188
0.182000000,0.929785863
0.183000000,0.904073538
0.184000000,0.883503678
0.185000000,0.847506423
0.186000000,0.816651633
0.187000000,0.770369448
0.188000000,0.744657123
0.189000000,0.693232473
0.190000000,0.641807823
0.191000000,0.595525638
0.192000000,0.544100988
0.193000000,0.497818803
0.194000000,0.430966758
0.195000000,0.379542108
0.196000000,0.322974993
0.197000000,0.261265413
0.198000000,0.199555833
