# 2021-02-17, 16:46:29.312034
# fs = 1000 Hz, N = 100
# NI 9201, 19.6.0
t,ai0
0.000000000,-0.438109827
0.001000000,-0.396970107
0.002000000,-0.366115317
0.003000000,-0.319833132
0.004000000,-0.268408482
0.005000000,-0.216983832
0.006000000,-0.150131787
0.007000000,-0.093564672
0.008000000,-0.031855092
0.009000000,0.029854488
0.010000000,0.091564068
0.011000000,0.158416113
0.012000000,0.220125693
0.013000000,0.261265413
0.014000000,0.322974993
0.015000000,0.358972248
0.016000000,0.405254433
0.017000000,0.436109223
0.018000000,0.456679083
0.019000000,0.477248943
0.020000000,0.487533873
0.021000000,0.497818803
0.022000000,0.497818803
0.023000000,0.482391408
0.024000000,0.461821548
0.025000000,0.430966758
0.026000000,0.400111968
0.027000000,0.348687318
0.028000000,0.317832528
0.029000000,0.261265413
0.030000000,0.214983228
0.031000000,0.148131183
0.032000000,0.091564068
0.033000000,0.024712023
0.034000000,-0.031855092
0.035000000,-0.093564672
0.036000000,-0.165559182
0.037000000,-0.222126297
0.038000000,-0.273550947
0.039000000,-0.324975597
0.040000000,-0.360972852
0.041000000,-0.412397502
0.042000000,-0.443252292
0.043000000,-0.474107082
0.044000000,-0.484392012
0.045000000,-0.499819407
0.046000000,-0.504961872
0.047000000,-0.499819407
0.048000000,-0.489534477
0.049000000,-0.468964617
0.050000000,-0.438109827
0.051000000,-0.407255037
0.052000000,-0.360972852
0.053000000,-0.319833132
0.054000000,-0.268408482
0.055000000,-0.206698902
0.056000000,-0.155274252
0.057000000,-0.088422207
0.058000000,-0.031855092
0.059000000,0.029854488
0.060000000,0.096706533
0.061000000,0.153273648
0.062000000,0.209840763
0.063000000,0.261265413
0.064000000,0.322974993
0.065000000,0.364114713
0.066000000,0.405254433
0.067000000,0.441251688
0.068000000,0.461821548
0.069000000,0.482391408
0.070000000,0.497818803
0.071000000,0.497818803
0.072000000,0.492676338
0.073000000,0.482391408
0.074000000,0.456679083
0.075000000,0.430966758
0.076000000,0.400111968
0.077000000,0.358972248
0.078000000,0.312690063
0.079000000,0.261265413
0.080000000,0.199555833
0.081000000,0.153273648
0.082000000,0.081279138
0.083000000,0.024712023
0.084000000,-0.026712627
0.085000000,-0.093564672
0.086000000,-0.155274252
0.087000000,-0.206698902
0.088000000,-0.273550947
0.089000000,-0.324975597
0.090000000,-0.366115317
0.091000000,-0.407255037
0.092000000,-0.443252292
0.093000000,-0.474107082
0.094000000,-0.484392012
0.095000000,-0.494676942
0.096000000,-0.499819407
0.097000000,-0.494676942
0.098000000,-0.489534477
0.099000000,-0.463822152
