# 2021-02-17, 17:44:29.986168
# fs = 1000 Hz, N = 1000
# NI 9201, 19.6.0
t,ai0
0.000000000,0.065851743
0.001000000,0.122418858
0.002000000,0.184128438
0.003000000,0.240695553
0.004000000,0.302405133
0.005000000,0.364114713
0.006000000,0.420681828
0.007000000,0.477248943
0.008000000,0.533816058
0.009000000,0.585240708
0.010000000,0.636665358
0.011000000,0.682947543
0.012000000,0.718944798
0.013000000,0.765226983
0.014000000,0.801224238
0.015000000,0.837221493
0.016000000,0.868076283
0.017000000,0.904073538
0.018000000,0.924643398
0.019000000,0.950355723
0.020000000,0.960640653
0.021000000,0.981210513
0.022000000,0.986352978
0.023000000,0.991495443
0.024000000,0.996637908
0.025000000,0.996637908
0.026000000,0.986352978
0.027000000,0.976068048
0.028000000,0.960640653
0.029000000,0.945213258
0.030000000,0.929785863
0.031000000,0.898931073
0.032000000,0.878361213
0.033000000,0.842363958
0.034000000,0.806366703
0.035000000,0.765226983
0.036000000,0.734372193
0.037000000,0.682947543
0.038000000,0.641807823
0.039000000,0.580098243
0.040000000,0.533816058
0.041000000,0.477248943
0.042000000,0.425824293
0.043000000,0.364114713
0.044000000,0.302405133
0.045000000,0.250980483
0.046000000,0.189270903
0.047000000,0.127561323
0.048000000,0.065851743
0.049000000,-0.001000302
0.050000000,-0.067852347
0.051000000,-0.119276997
0.052000000,-0.186129042
0.053000000,-0.247838622
0.054000000,-0.309548202
0.055000000,-0.360972852
0.056000000,-0.427824897
0.057000000,-0.489534477
0.058000000,-0.535816662
0.059000000,-0.587241312
0.060000000,-0.638665962
0.061000000,-0.684948147
0.062000000,-0.736372797
0.063000000,-0.772370052
0.064000000,-0.808367307
0.065000000,-0.849507027
0.066000000,-0.870076887
0.067000000,-0.906074142
0.068000000,-0.931786467
0.069000000,-0.947213862
0.070000000,-0.972926187
0.071000000,-0.988353582
0.072000000,-0.998638512
0.073000000,-0.998638512
0.074000000,-1.003780977
0.075000000,-0.998638512
0.076000000,-0.993496047
0.077000000,-0.988353582
0.078000000,-0.967783722
0.079000000,-0.957498792
0.080000000,-0.931786467
0.081000000,-0.911216607
0.082000000,-0.885504282
0.083000000,-0.849507027
0.084000000,-0.818652237
0.085000000,-0.772370052
0.086000000,-0.731230332
0.087000000,-0.684948147
0.088000000,-0.638665962
0.089000000,-0.587241312
0.090000000,-0.540959127
0.091000000,-0.484392012
0.092000000,-0.427824897
0.093000000,-0.371257782
0.094000000,-0.319833132
0.095000000,-0.263266017
0.096000000,-0.191271507
0.097000000,-0.129561927
0.098000000,-0.067852347
0.099000000,-0.011285232
0.100000000,0.055566813
0.101000000,0.122418858
0.102000000,0.178985973
0.103000000,0.245838018
0.104000000,0.307547598
0.105000000,0.364114713
0.106000000,0.420681828
0.107000000,0.477248943
0.108000000,0.528673593
0.109000000,0.574955778
0.110000000,0.636665358
0.111000000,0.672662613
0.112000000,0.729229728
0.113000000,0.765226983
0.114000000,0.801224238
0.115000000,0.842363958
0.116000000,0.878361213
0.117000000,0.904073538
0.118000000,0.929785863
0.119000000,0.945213258
0.120000000,0.965783118
0.121000000,0.976068048
0.122000000,0.986352978
0.123000000,0.991495443
0.124000000,0.996637908
0.125000000,0.991495443
0.126000000,0.986352978
0.127000000,0.981210513
0.128000000,0.965783118
0.129000000,0.950355723
0.130000000,0.929785863
0.131000000,0.904073538
0.132000000,0.878361213
0.133000000,0.842363958
0.134000000,0.806366703
0.135000000,0.775511913
0.136000000,0.734372193
0.137000000,0.682947543
0.138000000,0.636665358
0.139000000,0.590383173
0.140000000,0.533816058
0.141000000,0.482391408
0.142000000,0.425824293
0.143000000,0.364114713
0.144000000,0.307547598
0.145000000,0.245838018
0.146000000,0.184128438
0.147000000,0.117276393
0.148000000,0.060709278
0.149000000,-0.006142767
0.150000000,-0.062709882
0.151000000,-0.124419462
0.152000000,-0.180986577
0.153000000,-0.252981087
0.154000000,-0.304405737
0.155000000,-0.371257782
0.156000000,-0.427824897
0.157000000,-0.479249547
0.158000000,-0.530674197
0.159000000,-0.587241312
0.160000000,-0.638665962
0.161000000,-0.684948147
0.162000000,-0.731230332
0.163000000,-0.772370052
0.164000000,-0.813509772
0.165000000,-0.844364562
0.166000000,-0.875219352
0.167000000,-0.906074142
0.168000000,-0.931786467
0.169000000,-0.952356327
0.170000000,-0.978068652
0.171000000,-0.978068652
0.172000000,-0.993496047
0.173000000,-0.998638512
0.174000000,-0.998638512
0.175000000,-0.998638512
0.176000000,-0.998638512
0.177000000,-0.988353582
0.178000000,-0.978068652
0.179000000,-0.967783722
0.180000000,-0.936928932
0.181000000,-0.900931677
0.182000000,-0.875219352
0.183000000,-0.844364562
0.184000000,-0.808367307
0.185000000,-0.772370052
0.186000000,-0.736372797
0.187000000,-0.690090612
0.188000000,-0.638665962
0.189000000,-0.587241312
0.190000000,-0.546101592
0.191000000,-0.489534477
0.192000000,-0.427824897
0.193000000,-0.366115317
0.194000000,-0.314690667
0.195000000,-0.247838622
0.196000000,-0.191271507
